Epoch36---->precision:0.9836994178479153, recall:0.9689214109153685, f1:0.9758528470993042
Epoch37---->precision:0.9834091568201444, recall:0.968272060266018, f1:0.9753607511520386
Epoch38---->precision:0.9842809229401543, recall:0.9702201122140699, f1:0.9768358469009399
Epoch39---->precision:0.9851556477960646, recall:0.9721681641621218, f1:0.9783074855804443
Epoch40---->precision:0.9860333487785414, recall:0.9741162161101737, f1:0.9797758460044861
Epoch41---->precision:0.9860333487785414, recall:0.9741162161101737, f1:0.9797758460044861
Epoch42---->precision:0.9857404500261643, recall:0.9734668654608232, f1:0.979286789894104
Epoch43---->precision:0.9860333487785414, recall:0.9741162161101737, f1:0.9797758460044861
Epoch44---->precision:0.9843226773925033, recall:0.9784949189783027, f1:0.9813351631164551
Epoch45---->precision:0.9855402335991181, recall:0.9810923215757053, f1:0.9832732677459717
Epoch46---->precision:0.9856447874359475, recall:0.9790991485855534, f1:0.9822797179222107
Epoch47---->precision:0.9852857310788743, recall:0.9794463844312787, f1:0.9822923541069031
Epoch48---->precision:0.984930800650355, recall:0.9797936202770039, f1:0.9823049306869507
Epoch49---->precision:0.984930800650355, recall:0.9797936202770039, f1:0.9823049306869507
Epoch50---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch51---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch52---->precision:0.985235353045419, recall:0.9804429709263547, f1:0.9827892780303955
Epoch53---->precision:0.986551279670205, recall:0.9810472005336054, f1:0.9837338924407959
Epoch54---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch55---->precision:0.9862487847652452, recall:0.9803978498842547, f1:0.9832495450973511
Epoch56---->precision:0.9859466209255892, recall:0.9797484992349041, f1:0.9827648401260376
Epoch57---->precision:0.9840762225529027, recall:0.9768489818338761, f1:0.9803499579429626
Epoch58---->precision:0.9760771106723958, recall:0.9825401184917801, f1:0.9792104959487915
Epoch59---->precision:0.9600331732682782, recall:0.9770706634754973, f1:0.9677914381027222
Epoch60---->precision:0.9716662594899075, recall:0.9817691372072037, f1:0.9764701128005981
Epoch61---->precision:0.981933040074358, recall:0.9809255698983796, f1:0.981427013874054
Epoch62---->precision:0.9845878170668769, recall:0.974508572997999, f1:0.9793319702148438
Epoch63---->precision:0.9845094370877059, recall:0.968226939223918, f1:0.975817084312439
Epoch64---->precision:0.9829264302948514, recall:0.9633342488327383, f1:0.9723385572433472
Epoch65---->precision:0.9836482487155945, recall:0.9662788872758661, f1:0.9743374586105347
Epoch66---->precision:0.9843913788047431, recall:0.9692235257189941, f1:0.9763270616531372
Epoch67---->precision:0.9868268061941758, recall:0.9770608545533017, f1:0.9817418456077576
Epoch68---->precision:0.9866744632476506, recall:0.9790540275434536, f1:0.9827401638031006
Epoch69---->precision:0.9868541063568228, recall:0.9816965511829561, f1:0.9842179417610168
