Epoch65---->precision:0.5903425924327201, recall:0.631115199113218, f1:0.6050675511360168
Epoch66---->precision:0.588608656827346, recall:0.6130355184490749, f1:0.5986042022705078
Epoch67---->precision:0.5807998481551989, recall:0.5840842089126308, f1:0.5823925137519836
Epoch68---->precision:0.557988664027344, recall:0.5556178582799731, f1:0.5567618012428284
Epoch69---->precision:0.5546828759752489, recall:0.5479372295138029, f1:0.5509325265884399
Epoch70---->precision:0.5501984757496992, recall:0.5435894034268464, f1:0.5464844703674316
Epoch71---->precision:0.5646363139185124, recall:0.5585355715144869, f1:0.5613429546356201
Epoch72---->precision:0.5738042078182269, recall:0.5754563625428946, f1:0.5746160745620728
Epoch73---->precision:0.5787289897155561, recall:0.5874848173960212, f1:0.5827531814575195
Epoch74---->precision:0.5781132866546477, recall:0.5961188547304866, f1:0.5856738686561584
Epoch75---->precision:0.5792782236854752, recall:0.6069946109126072, f1:0.5899279713630676
Epoch76---->precision:0.5817908789270423, recall:0.6241229466633649, f1:0.5961727499961853
Epoch77---->precision:0.5667731713616804, recall:0.6329173594651006, f1:0.580967903137207
Epoch78---->precision:0.566434665181722, recall:0.6391740663435572, f1:0.5804124474525452
Epoch79---->precision:0.5597896744723038, recall:0.6369467930802702, f1:0.5705351829528809
Epoch80---->precision:0.5558291845789445, recall:0.6336941781346919, f1:0.5642401576042175
Epoch81---->precision:0.5556473037449146, recall:0.632198323132982, f1:0.5641700625419617
Epoch82---->precision:0.5636202865373036, recall:0.6382967181990779, f1:0.5763891339302063
Epoch83---->precision:0.5614662159479187, recall:0.6391864482730156, f1:0.5729918479919434
Epoch84---->precision:0.5620935443494983, recall:0.6383686513130742, f1:0.574059009552002
Epoch85---->precision:0.5671156791760046, recall:0.6497806629638802, f1:0.5808379054069519
Epoch86---->precision:0.5712457923929927, recall:0.65534692987111, f1:0.5866222977638245
Epoch87---->precision:0.5697148947179891, recall:0.659906427990236, f1:0.5840330719947815
Epoch88---->precision:0.5669286740927058, recall:0.658145540736548, f1:0.5797587633132935
Epoch89---->precision:0.5561955007801095, recall:0.657161472152451, f1:0.5594320893287659
Epoch90---->precision:0.5521151944570294, recall:0.656976627634108, f1:0.5495172739028931
Epoch91---->precision:0.5505725299633326, recall:0.6569170764495702, f1:0.545291006565094
Epoch92---->precision:0.5434298225972205, recall:0.6465510430301529, f1:0.5278826951980591
Epoch93---->precision:0.5369174836229168, recall:0.6357165599462271, f1:0.50830078125
Epoch94---->precision:0.5562180504980819, recall:0.6559368403674485, f1:0.5598464608192444
Epoch95---->precision:0.5400005068833962, recall:0.6321431940661077, f1:0.5249988436698914
Epoch96---->precision:0.5946603888258807, recall:0.6395396280704237, f1:0.6106867790222168
Epoch97---->precision:0.6016491851761889, recall:0.6362026980813905, f1:0.6152827143669128
Epoch98---->precision:0.5992747380998694, recall:0.6421861180882301, f1:0.6151294708251953
Epoch99---->precision:0.5936020885399507, recall:0.6648273605264089, f1:0.6142568588256836
Epoch100---->precision:0.6149995124865606, recall:0.655426822796901, f1:0.6309522390365601
Epoch101---->precision:0.6316409520906482, recall:0.6399216990365679, f1:0.6356114745140076
Epoch102---->precision:0.634281895055574, recall:0.6340081484888149, f1:0.6341448426246643
Epoch103---->precision:0.6575685139187719, recall:0.6342033112817066, f1:0.6446843147277832
Epoch104---->precision:0.6743136761301848, recall:0.6422845839082086, f1:0.6562570929527283
Epoch105---->precision:0.6658640522652634, recall:0.6546541314371292, f1:0.6600082516670227
Epoch106---->precision:0.6249460223899126, recall:0.6637793186401104, f1:0.6407564282417297
Epoch107---->precision:0.5534156696688622, recall:0.6405735191801983, f1:0.5580757856369019
Epoch108---->precision:0.5458924835595744, recall:0.6399983490760722, f1:0.5397918820381165
Epoch109---->precision:0.5320546515647873, recall:0.6176471975566326, f1:0.5015672445297241
Epoch110---->precision:0.5850057294093071, recall:0.6433573896534239, f1:0.6025598645210266
Epoch111---->precision:0.5800170839135926, recall:0.604886440018396, f1:0.5898635983467102
Epoch112---->precision:0.5543632843918076, recall:0.5621499156849565, f1:0.5578030347824097
Epoch113---->precision:0.5174502720402353, recall:0.5181949505312438, f1:0.5177983641624451
Epoch114---->precision:0.4950797519709733, recall:0.49543254206907933, f1:0.49521633982658386
Epoch115---->precision:0.47064079652795504, recall:0.5, f1:0.4848763942718506
Epoch116---->precision:0.47064079652795504, recall:0.5, f1:0.4848763942718506
Epoch117---->precision:0.47063329928498465, recall:0.4998643883916463, f1:0.48480862379074097
Epoch118---->precision:0.48991486318772914, recall:0.4890567328215469, f1:0.48944225907325745
Epoch119---->precision:0.4900167651131573, recall:0.4877746135069162, f1:0.48860278725624084
Epoch120---->precision:0.49024511226122847, recall:0.4877088713576491, f1:0.4885843098163605
Epoch121---->precision:0.49066133476116347, recall:0.48757738705911485, f1:0.4884864091873169
Epoch122---->precision:0.49322886064466914, recall:0.4907047086708883, f1:0.49108678102493286
Epoch123---->precision:0.49867475800986066, recall:0.49811205056544144, f1:0.4970458447933197
Epoch124---->precision:0.4913825336846597, recall:0.4855617858279973, f1:0.4859459102153778
Epoch125---->precision:0.5060464229280063, recall:0.5077487293781913, f1:0.5061424374580383
Epoch126---->precision:0.5117897877810672, recall:0.5126266199691042, f1:0.5121492147445679
Epoch127---->precision:0.5075530746373434, recall:0.5117740356835415, f1:0.5068145394325256
Epoch128---->precision:0.5081234777229923, recall:0.5133418237992476, f1:0.506999671459198
