Epoch43---->precision:0.9096819514959991, recall:0.8876587482291034, f1:0.8981534838676453
Epoch44---->precision:0.8975437701852796, recall:0.8905016697024893, f1:0.8939681053161621
Epoch45---->precision:0.8899786581961213, recall:0.8975605899615462, f1:0.8937051296234131
Epoch46---->precision:0.8861746361746362, recall:0.8876840467516697, f1:0.8869267702102661
Epoch47---->precision:0.8915925591952862, recall:0.8823258196721312, f1:0.8868628740310669
Epoch48---->precision:0.8944941285952004, recall:0.8796467061323618, f1:0.8868248462677002
Epoch49---->precision:0.883768497665127, recall:0.8815112072454969, f1:0.8826340436935425
Epoch50---->precision:0.8855752360882515, recall:0.8953014318963772, f1:0.8903307318687439
Epoch51---->precision:0.8788315759824632, recall:0.8912954108480065, f1:0.8848830461502075
Epoch52---->precision:0.8808383870624534, recall:0.8984466707144303, f1:0.8892853260040283
Epoch53---->precision:0.8777856096827208, recall:0.8844002985225663, f1:0.8810418844223022
Epoch54---->precision:0.8816934704411163, recall:0.8876378769479862, f1:0.8846248984336853
Epoch55---->precision:0.880225988700565, recall:0.8839341732442825, f1:0.8820641040802002
Epoch56---->precision:0.8778838796110904, recall:0.8910392633070229, f1:0.8842599391937256
Epoch57---->precision:0.876940599713028, recall:0.8907831157660393, f1:0.8836379647254944
Epoch58---->precision:0.880233721713629, recall:0.8883601497672535, f1:0.884220540523529
Epoch59---->precision:0.8802349902349902, recall:0.8817211849827971, f1:0.8809754848480225
Epoch60---->precision:0.8842074166841307, recall:0.884958763408217, f1:0.88458251953125
Epoch61---->precision:0.8846549413105842, recall:0.8884063195709371, f1:0.8865145444869995
Epoch62---->precision:0.8778431300243381, recall:0.8888262750455374, f1:0.8831941485404968
Epoch63---->precision:0.8697510468623413, recall:0.8833295385549484, f1:0.8763196468353271
Epoch64---->precision:0.8727069201926927, recall:0.8885239577008703, f1:0.8803191184997559
Epoch65---->precision:0.8755669752824259, recall:0.8915053885853066, f1:0.8832381963729858
Epoch66---->precision:0.8728885885352398, recall:0.8929499342238414, f1:0.8824434280395508
Epoch67---->precision:0.879324444248865, recall:0.8925299787492411, f1:0.8857250213623047
Epoch68---->precision:0.8745664352697601, recall:0.8890362527828375, f1:0.8815548419952393
Epoch69---->precision:0.8740000687069355, recall:0.8855886966201174, f1:0.8796358108520508
Epoch70---->precision:0.8774933019384408, recall:0.8942306719287594, f1:0.8855355381965637
Epoch71---->precision:0.8716986420459809, recall:0.8958851953045942, f1:0.8830982446670532
Epoch72---->precision:0.8764433149733156, recall:0.8895485478648046, f1:0.8827948570251465
Epoch73---->precision:0.8703561721486606, recall:0.8867770947176685, f1:0.8782448768615723
Epoch74---->precision:0.868416837558093, recall:0.8840518113742157, f1:0.8759405612945557
Epoch75---->precision:0.8697510468623413, recall:0.8833295385549484, f1:0.8763196468353271
Epoch76---->precision:0.8714184826472962, recall:0.877202868852459, f1:0.8742707967758179
